Open_Time_NY,Open,High,Low,Close
2026-03-14 16:00:00,1.53,1.54,1.52,1.53
2026-03-14 20:00:00,1.53,1.53,1.52,1.52
2026-03-15 00:00:00,1.52,1.52,1.49,1.49
2026-03-15 04:00:00,1.49,1.5,1.47,1.47
2026-03-15 08:00:00,1.47,1.48,1.45,1.46
2026-03-15 12:00:00,1.46,1.49,1.45,1.49
2026-03-15 16:00:00,1.49,1.53,1.48,1.48
2026-03-15 20:00:00,1.48,1.48,1.46,1.46
2026-03-16 00:00:00,1.46,1.47,1.46,1.46
2026-03-16 04:00:00,1.46,1.48,1.46,1.48
2026-03-16 08:00:00,1.48,1.56,1.47,1.56
2026-03-16 12:00:00,1.56,1.7,1.56,1.62
2026-03-16 16:00:00,1.63,1.69,1.62,1.69
2026-03-16 20:00:00,1.69,1.7,1.65,1.66
2026-03-17 00:00:00,1.67,1.69,1.66,1.69
2026-03-17 04:00:00,1.69,1.76,1.67,1.74
2026-03-17 08:00:00,1.73,1.75,1.68,1.68
2026-03-17 12:00:00,1.68,1.75,1.68,1.75
2026-03-17 16:00:00,1.75,1.82,1.72,1.82
2026-03-17 20:00:00,1.82,1.89,1.82,1.86
2026-03-18 00:00:00,1.87,1.97,1.81,1.94
2026-03-18 04:00:00,1.93,1.93,1.84,1.93
2026-03-18 08:00:00,1.93,1.94,1.84,1.92
2026-03-18 12:00:00,1.93,1.93,1.85,1.87
2026-03-18 16:00:00,1.86,1.88,1.82,1.88
2026-03-18 20:00:00,1.9,1.91,1.81,1.88
2026-03-19 00:00:00,1.89,1.93,1.86,1.87
2026-03-19 04:00:00,1.87,1.93,1.87,1.93
2026-03-19 08:00:00,1.94,2.01,1.84,1.92
2026-03-19 12:00:00,1.93,1.93,1.82,1.82
2026-03-19 16:00:00,1.82,1.83,1.81,1.81
2026-03-19 20:00:00,1.81,1.82,1.79,1.81
2026-03-20 00:00:00,1.81,1.83,1.8,1.8
2026-03-20 04:00:00,1.8,1.8,1.68,1.73
2026-03-20 08:00:00,1.72,1.72,1.63,1.64
2026-03-20 12:00:00,1.64,1.69,1.64,1.66
2026-03-20 16:00:00,1.66,1.7,1.66,1.69
2026-03-20 20:00:00,1.69,1.7,1.65,1.65
2026-03-21 00:00:00,1.65,1.65,1.64,1.65
2026-03-21 04:00:00,1.65,1.66,1.62,1.62
2026-03-21 08:00:00,1.62,1.63,1.61,1.63
2026-03-21 12:00:00,1.63,1.66,1.63,1.65
