Open_Time_NY,Open,High,Low,Close
2026-02-19 11:00:00,1949.32,1953.51,1915.27,1920.51
2026-02-19 15:00:00,1923.79,1943.45,1914.26,1938.11
2026-02-19 19:00:00,1939.98,1950.82,1936.42,1946.91
2026-02-19 23:00:00,1948.07,1961.89,1947.82,1954.39
2026-02-20 03:00:00,1953.54,1964.39,1934.57,1961.37
2026-02-20 07:00:00,1960.04,1970.45,1942.37,1945.15
2026-02-20 11:00:00,1943.99,1963.14,1927.51,1955.97
2026-02-20 15:00:00,1963.14,1977.74,1942.05,1963.51
2026-02-20 19:00:00,1962.95,1973.41,1962.95,1967.81
2026-02-20 23:00:00,1968.18,1969.4,1956.83,1957.61
2026-02-21 03:00:00,1958.32,1965.26,1957.18,1961.17
2026-02-21 07:00:00,1962.16,1984.26,1962.16,1977.5
2026-02-21 11:00:00,1976.7,1990.33,1970.54,1988.95
2026-02-21 15:00:00,1987.8,1994.42,1980.09,1988.42
2026-02-21 19:00:00,1988.0,1989.28,1972.1,1973.66
2026-02-21 23:00:00,1973.07,1980.8,1968.57,1972.97
2026-02-22 03:00:00,1973.85,1977.84,1970.95,1975.77
2026-02-22 07:00:00,1975.71,1981.09,1971.15,1979.9
2026-02-22 11:00:00,1980.04,1980.04,1946.22,1954.91
2026-02-22 15:00:00,1953.17,1953.32,1936.45,1942.68
2026-02-22 19:00:00,1943.03,1958.6,1940.48,1954.19
2026-02-22 23:00:00,1957.17,1957.17,1856.84,1864.74
2026-02-23 03:00:00,1863.34,1885.65,1855.86,1884.78
2026-02-23 07:00:00,1884.71,1923.51,1878.0,1913.72
2026-02-23 11:00:00,1914.38,1930.83,1896.74,1896.74
2026-02-23 15:00:00,1895.38,1895.48,1845.98,1855.12
2026-02-23 19:00:00,1857.17,1867.7,1849.22,1853.7
2026-02-23 23:00:00,1856.09,1867.36,1828.03,1830.53
2026-02-24 03:00:00,1831.15,1837.98,1816.9,1823.33
2026-02-24 07:00:00,1824.71,1834.55,1819.06,1823.86
2026-02-24 11:00:00,1825.44,1847.25,1807.63,1843.92
2026-02-24 15:00:00,1846.81,1862.35,1841.19,1853.65
2026-02-24 19:00:00,1852.55,1862.26,1847.63,1852.81
2026-02-24 23:00:00,1852.31,1934.88,1847.19,1907.22
2026-02-25 03:00:00,1906.1,1913.48,1882.34,1892.4
2026-02-25 07:00:00,1892.87,1923.83,1890.77,1922.42
2026-02-25 11:00:00,1925.29,2023.3,1924.79,2019.0
2026-02-25 15:00:00,2012.52,2076.62,2012.52,2071.03
2026-02-25 19:00:00,2071.58,2121.02,2040.6,2053.19
2026-02-25 23:00:00,2055.93,2073.22,2041.26,2055.81
2026-02-26 03:00:00,2054.46,2079.31,2054.14,2054.14
2026-02-26 07:00:00,2054.03,2079.93,2047.06,2056.21
2026-02-26 11:00:00,2057.31,2070.54,2021.23,2032.72
2026-02-26 15:00:00,2033.11,2034.58,1981.02,2028.05
2026-02-26 19:00:00,2029.73,2038.17,2021.27,2027.3
2026-02-26 23:00:00,2027.03,2036.13,2005.59,2036.13
2026-02-27 03:00:00,2045.87,2059.75,2024.94,2030.01
2026-02-27 07:00:00,2032.16,2042.45,1957.89,1961.01
2026-02-27 11:00:00,1962.77,1965.37,1943.73,1949.6
2026-02-27 15:00:00,1948.57,1948.57,1912.79,1920.89
2026-02-27 19:00:00,1921.19,1931.57,1898.54,1931.32
2026-02-27 23:00:00,1930.31,1936.19,1922.61,1924.95
2026-02-28 03:00:00,1924.09,1927.47,1841.29,1869.08
2026-02-28 07:00:00,1866.4,1878.75,1849.42,1869.45
2026-02-28 11:00:00,1864.19,1909.08,1864.19,1895.74
2026-02-28 15:00:00,1898.79,1950.92,1892.05,1948.46
